Major,Revelle,Muir,Marshall,Warren,ERC,Sixth,Seventh
MC25,64.0,44.0,48.0,36.0,56.0,48.0,40.0
MC27,64.0,44.0,48.0,36.0,56.0,48.0,40.0
MC30,64.0,44.0,48.0,36.0,56.0,48.0,40.0
MC31,64.0,44.0,48.0,36.0,60.0,48.0,40.0
MC32,64.0,44.0,48.0,36.0,56.0,48.0,40.0
MC33,64.0,44.0,48.0,36.0,56.0,44.0,40.0
MC34,64.0,44.0,48.0,36.0,56.0,48.0,40.0
MU25,96.0,96.0,68.0,68.0,80.0,64.0,96.0
MU26,96.0,96.0,68.0,68.0,72.0,64.0,96.0
MU27,88.0,96.0,60.0,60.0,64.0,48.0,96.0
NA25,60.0,44.0,44.0,36.0,56.0,44.0,42.0
PB25,80.0,56.0,60.0,64.0,96.0,96.0,96.0
PB26,72.0,76.0,52.0,60.0,76.0,76.0,76.0
PB27,68.0,56.0,48.0,60.0,76.0,76.0,76.0
PB28,80.0,56.0,60.0,64.0,96.0,96.0,96.0
PB29,84.0,56.0,60.0,64.0,96.0,48.0,96.0
PB30,80.0,56.0,60.0,64.0,96.0,48.0,96.0
PB31,56.0,56.0,56.0,64.0,68.0,48.0,68.0
PC25,84.0,60.0,52.0,60.0,60.0,48.0,108.0
PC26,72.0,52.0,44.0,60.0,56.0,40.0,92.0
PC28,72.0,52.0,44.0,60.0,56.0,40.0,92.0
PC29,76.0,52.0,44.0,60.0,56.0,40.0,92.0
PC30,72.0,52.0,44.0,60.0,56.0,40.0,92.0
PC31,72.0,52.0,44.0,60.0,56.0,40.0,92.0
PC32,72.0,52.0,44.0,60.0,56.0,52.0,92.0
PC33,72.0,52.0,44.0,60.0,56.0,40.0,92.0
PC34,68.0,52.0,44.0,60.0,56.0,40.0,88.0
PC35,76.0,52.0,44.0,60.0,60.0,40.0,88.0
PL25,100.0,120.0,64.0,68.0,72.0,64.0,120.0
PS25,92.0,60.0,64.0,64.0,72.0,72.0,116.0
PS26,96.0,60.0,64.0,64.0,72.0,64.0,116.0
PS27,100.0,60.0,64.0,64.0,72.0,64.0,116.0
PS28,100.0,60.0,64.0,64.0,72.0,64.0,116.0
PS29,100.0,60.0,64.0,64.0,72.0,64.0,116.0
PS30,96.0,60.0,64.0,64.0,72.0,64.0,116.0
PS31,96.0,116.0,64.0,64.0,72.0,68.0,116.0
PS32,100.0,116.0,64.0,60.0,68.0,64.0,116.0
PS34,96.0,116.0,64.0,64.0,72.0,64.0,116.0
PY26,58.0,52.0,44.0,64.0,56.0,48.0,43.0
PY28,66.0,65.0,52.0,64.0,65.0,48.0,65.0
PY29,72.0,71.0,52.0,72.0,71.0,48.0,71.0
PY30,76.0,60.0,56.0,76.0,79.0,56.0,79.0
PY31,80.0,60.0,56.0,80.0,79.0,55.0,79.0
PY32,64.0,56.0,48.0,64.0,63.0,48.0,63.0
PY33,72.0,52.0,52.0,72.0,71.0,48.0,71.0
PY34,72.0,52.0,52.0,68.0,75.0,48.0,71.0
RE26,112.0,72.0,68.0,68.0,80.0,68.0,132.0
RU26,84.0,107.0,68.0,68.0,60.0,64.0,107.0
SE27,64.0,24.0,28.0,20.0,32.0,20.0,4.0
SI29,64.0,56.0,44.0,60.0,68.0,52.0,68.0
SI30,72.0,60.0,52.0,60.0,72.0,60.0,72.0
SI31,76.0,60.0,60.0,60.0,84.0,56.0,84.0
SO25,96.0,60.0,64.0,64.0,108.0,64.0,116.0
SO27,96.0,56.0,68.0,64.0,68.0,64.0,116.0
SO28,96.0,56.0,68.0,64.0,84.0,64.0,116.0
SO29,96.0,56.0,68.0,64.0,68.0,64.0,116.0
SO30,96.0,56.0,68.0,64.0,68.0,64.0,116.0
SO31,96.0,56.0,68.0,64.0,64.0,64.0,116.0
SO32,96.0,56.0,68.0,60.0,68.0,64.0,116.0
SO33,96.0,60.0,68.0,60.0,68.0,64.0,116.0
TH26,92.0,60.0,64.0,68.0,76.0,56.0,92.0
TH27,96.0,60.0,68.0,68.0,76.0,56.0,96.0
UN27,108.0,,,,,,
UNHA,108.0,,,,,,
UNPS,108.0,,,,,,
UNSS,108.0,,,,,,
US26,96.0,68.0,64.0,64.0,76.0,60.0,108.0
US27,96.0,88.0,64.0,64.0,76.0,60.0,100.0
VA26,100.0,64.0,64.0,68.0,72.0,64.0,104.0
VA27,96.0,56.0,64.0,68.0,68.0,52.0,98.0
VA28,100.0,60.0,64.0,68.0,72.0,56.0,108.0
VA29,96.0,60.0,64.0,68.0,64.0,48.0,98.0
VA30,96.0,72.0,64.0,68.0,72.0,56.0,104.0
